case:concept:name,prefix,k,label,base_case_id,LPMs_binary,LPMs_frequency,LPMs_list
Case11_10,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10,10,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_11,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10,11,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_12,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10,12,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_13,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10,13,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_14,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10,14,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_15,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c.,15,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_16,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c.,16,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_17,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10,17,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_18,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10,18,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_19,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10,19,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_20,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10,20,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_21,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c.,21,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_22,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c.,22,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_23,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10,23,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_24,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10,24,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_25,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-9,25,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_26,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-9 turning-&-milling---machine-9,26,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_27,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-9 turning-&-milling---machine-9 turning-&-milling---machine-10,27,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
Case11_28,turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling-q.c. turning-&-milling-q.c. turning-&-milling---machine-10 turning-&-milling---machine-10 turning-&-milling---machine-9 turning-&-milling---machine-9 turning-&-milling---machine-10 turning-&-milling---machine-10,28,deviant,Case11,"[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ,   0 . 0 ]","[ 0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ,   0 ]"
